Company,Year,Industry,Accruals_Ratio,Leverage_Ratio,Leverage_Change_YoY,Operating_Margin,Margin_Volatility_3yr
REDINGTON,2025,Services,0.005192851433238601,0.10185938753512555,-0.0194441515867943,0.020241428923931486,0.0016337930517780943
REDINGTON,2026,Services,0.007525180970214316,0.08397951831512548,-0.017879869220000066,0.020266321368448453,0.0013268589863519938
RELIANCE,2017,Oil Gas & Consumable Fuels,-0.027799864742884147,0.30768871621755456,,,
RELIANCE,2018,Oil Gas & Consumable Fuels,-0.04361540443229345,0.2956378432414243,-0.012050872976130278,,
RELIANCE,2019,Oil Gas & Consumable Fuels,-0.0027645519882120626,0.308445014684803,0.012807171443378729,,
RELIANCE,2020,Oil Gas & Consumable Fuels,-0.047740570843884216,0.3053554769285005,-0.003089537756302496,,
RELIANCE,2021,Oil Gas & Consumable Fuels,0.016794627537280362,0.21132444235700515,-0.09403103457149536,,
RELIANCE,2022,Oil Gas & Consumable Fuels,-0.03332995244965041,0.2129676462777138,0.001643203920708658,,
RELIANCE,2023,Oil Gas & Consumable Fuels,-0.0300956110100244,0.2812560325104833,0.0682883862327695,,
RELIANCE,2024,Oil Gas & Consumable Fuels,-0.07991120470779146,0.1998344204830865,-0.08142161202739681,0.18246481044727608,
RELIANCE,2025,Oil Gas & Consumable Fuels,-0.08209310806257127,0.19198364066916515,-0.00785077981392135,0.17371510541514884,0.0061869757615992315
RELIANCE,2026,Oil Gas & Consumable Fuels,-0.07860545770330454,0.1850532663833508,-0.006930374285814361,0.15354414672922564,0.014831440154566984
RHIM,2019,Capital Goods,0.06985120453471894,,,,
RHIM,2020,Capital Goods,-0.03545553083461694,0.06713636450073211,,,
RHIM,2021,Capital Goods,-0.022855736559651955,0.049530024451430565,-0.017606340049301547,,
RHIM,2022,Capital Goods,0.14438703897267433,0.03865014185456174,-0.010879882596868826,,
RHIM,2023,Capital Goods,-0.1197796124512163,0.2702638358656928,0.23161369401113108,,
RHIM,2024,Capital Goods,-0.04375956369914075,0.09547023973005847,-0.17479359613563433,0.12381517759968338,
RHIM,2025,Capital Goods,-0.060432994490571885,0.07366726158143866,-0.02180297814861981,0.1308321352368568,0.004961738328544056
RHIM,2026,Capital Goods,-0.07126042563050242,0.09276535711921625,0.019098095537777596,0.1358028344033847,0.006022865601596052
RITES,2017,Construction,-0.047247572613243326,0.017383422927865985,,,
RITES,2018,Construction,-0.013068001578373192,0.010700441789751406,-0.006682981138114578,,
RITES,2019,Construction,0.056382649337628724,0.008772641154744966,-0.0019278006350064401,,
RITES,2020,Construction,0.05031985687760054,0.008042164184161663,-0.0007304769705833037,,
RITES,2021,Construction,-0.014275116375093598,0.006262067972991727,-0.0017800962111699358,,
RITES,2022,Construction,0.035385900411471924,0.0047223420351770835,-0.0015397259378146433,,
RITES,2023,Construction,-0.002966333698352071,0.0009047568173926977,-0.0038175852177843857,,
RITES,2024,Construction,-0.05852007605650215,0.0014123770128579272,0.0005076201954652295,0.20380019452549675,
RITES,2025,Construction,-0.08741816851037688,0.0014752949364544886,6.291792359656143e-05,0.23363841009546654,0.021098804568031666
RITES,2026,Construction,-0.040518594842719996,0.001111322845188849,-0.00036397209126563974,0.215445321307779,0.015038376274341686
RKFORGE,2017,Automobile and Auto Components,-0.0712351918532991,0.5149332859687932,,,
RKFORGE,2018,Automobile and Auto Components,-0.015653502094105855,0.4110576572281919,-0.1038756287406013,,
RKFORGE,2019,Automobile and Auto Components,-0.06693657587902252,0.41426065777874715,0.0032030005505552794,,
RKFORGE,2020,Automobile and Auto Components,-0.10965103085154572,0.44534491032466106,0.031084252545913904,,
RKFORGE,2021,Automobile and Auto Components,-0.04397954577410069,0.45614255796227365,0.010797647637612595,,
RKFORGE,2022,Automobile and Auto Components,0.04451561938958707,0.4648502692998205,0.00870771133754683,,
RKFORGE,2023,Automobile and Auto Components,-0.13326310597897467,0.3574089858848379,-0.1074412834149826,,
RKFORGE,2024,Automobile and Auto Components,-0.11405159078556795,0.22928330083729556,-0.12812568504754232,0.11756598185848126,
RKFORGE,2025,Automobile and Auto Components,-0.0029073953230456264,0.3257400990781504,0.09645679824085482,0.1476623092888614,0.021281317214832503
RKFORGE,2026,Automobile and Auto Components,-0.11070109670708636,0.3418947691749216,0.01615467009677124,0.17906252311637502,0.030750574357492528
RPOWER,2017,Power,-0.05612390647449387,0.5131339946578495,,,
RPOWER,2018,Power,-0.056684199199857684,0.5098045901546532,-0.003329404503196298,,
RPOWER,2019,Power,-0.12353869941320697,0.5243980550428387,0.01459346488818547,,
RPOWER,2020,Power,-0.16158495319901992,0.5399689555685948,0.01557090052575616,,
RPOWER,2021,Power,-0.07719276757060546,0.5047990590335165,-0.03516989653507829,,
RPOWER,2022,Power,-0.09188812418618451,0.46432963687618517,-0.04046942215733135,,
RPOWER,2023,Power,-0.09260268068144874,0.43753675151054633,-0.02679288536563884,,
RPOWER,2024,Power,-0.07157592404224963,0.4288547399664656,-0.008682011544080714,0.26549513179767276,
RPOWER,2025,Power,-0.046334174036138924,0.3670544622328072,-0.061800277733658426,0.32267572243224196,0.040432783389955894
RPOWER,2026,Power,-0.06683160344265159,0.3587091533856317,-0.008345308847175492,0.287483642757831,0.02884324597825655
RRKABEL,2020,Capital Goods,-0.0603031008955842,0.2585740539421235,,,
RRKABEL,2021,Capital Goods,0.12037711866877344,0.2956311840056906,0.03705713006356709,,
RRKABEL,2022,Capital Goods,0.056455545585768346,0.2597189170210276,-0.03591226698466299,,
RRKABEL,2023,Capital Goods,-0.1001966874492144,0.37804618737707035,0.11832727035604274,,
RRKABEL,2024,Capital Goods,-0.09424598334088453,0.12546265639703064,-0.2525835309800397,0.06202620430379037,
RRKABEL,2025,Capital Goods,-0.10695438053751577,0.08249263560160595,-0.04297002079542468,0.080560441033811,0.013105684475914375
RRKABEL,2026,Capital Goods,-0.019494177063993878,0.07292843263267682,-0.009564202968929139,0.08938829619342213,0.013965033896964296
RVNL,2017,Construction,-0.014367498233550578,0.27505592815912266,,,
RVNL,2018,Construction,0.11252340239075566,0.27269896106059455,-0.0023569670985281177,,
RVNL,2019,Construction,0.11438951997432274,0.25017123684288894,-0.022527724217705603,,
RVNL,2020,Construction,0.13863732263402442,0.3434286143044898,0.09325737746160084,,
RVNL,2021,Construction,0.04023238659656442,0.41703366750743437,0.07360505320294458,,
RVNL,2022,Construction,-0.18356323861192664,0.3310890179217972,-0.08594464958563719,,
RVNL,2023,Construction,0.2946893744422499,0.3511455375361362,0.02005651961433902,,
RVNL,2024,Construction,-0.13507966370174296,0.30814842360830524,-0.042997113927830954,0.05239546523389777,
RVNL,2025,Construction,-0.07608484929576297,0.2646395994958539,-0.04350882411245133,0.04711749059656823,0.003732091656986327
RVNL,2026,Construction,0.09440290701585755,0.22202997145882541,-0.0426096280370285,0.042723946654077666,0.0048424944723199385
SAGILITY,2022,Information Technology,0.0026990499780367534,0.474741274939192,,,
SAGILITY,2023,Information Technology,-0.0677373552219811,0.275033360084718,-0.19970791485447398,,
SAGILITY,2024,Information Technology,-0.07183609194943788,0.24045501731911334,-0.034578342765604675,0.2699319372088062,
SAGILITY,2025,Information Technology,-0.08669203401692051,0.12841900462767888,-0.11203601269143446,0.25929026202977956,0.007524800682274287
SAGILITY,2026,Information Technology,-0.07921167451693538,0.08920229274969316,-0.03921671187798573,0.22315480677165034,0.02451909565101881
SAIL,2017,Metals & Mining,-0.045587119842289844,0.38384963752997403,,,
SAIL,2018,Metals & Mining,-0.0557067493352727,0.3924896403497293,0.008640002819755244,,
SAIL,2019,Metals & Mining,-0.04117074407149627,0.3821446800000102,-0.010344960349719101,,
SAIL,2020,Metals & Mining,0.021528554238217427,0.4255352185159498,0.0433905385159396,,
SAIL,2021,Metals & Mining,-0.16328459272975124,0.31905109138581605,-0.10648412713013372,,
SAIL,2022,Metals & Mining,-0.15569844782357792,0.1435785411503731,-0.17547255023544295,,
SAIL,2023,Metals & Mining,0.05709236544411231,0.23530242511113492,0.09172388396076181,,
SAIL,2024,Metals & Mining,-0.019635134068598133,0.25756687545883733,0.022264450347702414,0.08287780559422228,
SAIL,2025,Metals & Mining,-0.06978077607192745,0.27014738540879923,0.012580509949961904,0.08382137280418774,0.0006672027726718386
SAIL,2026,Metals & Mining,-0.12769563670390402,0.23437600821762283,-0.0357713771911764,0.1582245757109649,0.04323166796244784
SAILIFE,2019,Healthcare,-0.045784758159395124,0.20490016207722117,,,
SAILIFE,2020,Healthcare,-0.027772657014421644,0.21531785759866134,0.010417695521440173,,
SAILIFE,2021,Healthcare,0.05363647368247296,0.3505958996819667,0.13527804208330535,,
SAILIFE,2022,Healthcare,-0.0457229736620097,0.34844298997839934,-0.0021529097035673517,,
SAILIFE,2023,Healthcare,-0.09612180355183857,0.4283733974726773,0.07993040749427793,,
SAILIFE,2024,Healthcare,-0.09250221043324491,0.4102785145888594,-0.018094882883817887,0.2722952385283551,
SAILIFE,2025,Healthcare,-0.06792295685952883,0.11202026848752451,-0.2982582461013349,0.3375804190777414,0.04616359387745918
SAILIFE,2026,Healthcare,-0.12064107177457303,0.07984609848589698,-0.03217417000162753,0.2670262858792329,0.03930182856809919
SAMMAANCAP,2017,Financial Services,0.20011699432213015,0.8225967030591141,,,
SAMMAANCAP,2018,Financial Services,0.21808727330973707,0.8375120302943967,0.01491532723528255,,
SAMMAANCAP,2019,Financial Services,-0.13155237751483584,0.8128594434356782,-0.024652586858718517,,
SAMMAANCAP,2020,Financial Services,-0.1665297165808821,0.7745009989595812,-0.03835844447609693,,
SAMMAANCAP,2021,Financial Services,-0.06313861524292651,0.7379558327533651,-0.03654516620621617,,
SAMMAANCAP,2022,Financial Services,0.006350383662913399,0.7485313456869945,0.01057551293362946,,
SAMMAANCAP,2023,Financial Services,-0.03831159300395489,0.6992238328805581,-0.049307512806436415,,
SAMMAANCAP,2024,Financial Services,0.0022166812415112193,0.6637508765095709,-0.03547295637098724,0.8072719338265925,
SAMMAANCAP,2025,Financial Services,-0.12051045118304726,0.6087916894945288,-0.0549591870150421,0.8794877499374287,0.05106429328089302
SAMMAANCAP,2026,Financial Services,0.10383654201274672,0.6984197387458714,0.0896280492513426,0.9991343458863269,0.09690340308789665
SAPPHIRE,2018,Consumer Services,-0.052997049722961785,0.03683049099325993,,,
SAPPHIRE,2019,Consumer Services,-0.08335235312913682,0.08755192404254349,0.05072143304928355,,
SAPPHIRE,2020,Consumer Services,-0.26783507389874606,0.4665703031836086,0.3790183791410651,,
SAPPHIRE,2021,Consumer Services,-0.1871507551840159,0.47792253990839967,0.011352236724791076,,
SAPPHIRE,2022,Consumer Services,-0.1609651533980403,0.3646212054716048,-0.11330133443679485,,
SAPPHIRE,2023,Consumer Services,-0.05730453310276679,0.37162256052371545,0.007001355052110636,,
SAPPHIRE,2024,Consumer Services,-0.15401182998103535,0.41033396078763135,0.038711400263915896,0.17757157585851377,
SAPPHIRE,2025,Consumer Services,-0.1686764821978369,0.42504473566485096,0.014710774877219612,0.1649115908727867,0.008951961233127487
SAPPHIRE,2026,Consumer Services,-0.15147623188316733,0.43542772163450166,0.010382985969650704,0.15689817724701444,0.0104233666020668
SARDAEN,2017,Metals & Mining,-0.014522715015793938,0.43749197462698064,,,
SARDAEN,2018,Metals & Mining,-0.028719953349489097,0.40600009963048805,-0.031491874996492586,,
SARDAEN,2019,Metals & Mining,-0.07520308090917238,0.3789540009179718,-0.02704609871251623,,
SARDAEN,2020,Metals & Mining,-0.051146031916294084,0.4130785620602734,0.03412456114230156,,
SARDAEN,2021,Metals & Mining,0.04139370385453,0.37924494059739017,-0.03383362146288321,,
SARDAEN,2022,Metals & Mining,-0.021342781262446188,0.2983440327229553,-0.08090090787443488,,
SARDAEN,2023,Metals & Mining,-0.018121349003353177,0.25668171153979474,-0.041662321183160544,,
SARDAEN,2024,Metals & Mining,-0.09082532885693577,0.22763647875238466,-0.029045232787410086,0.2796443137195445,
SARDAEN,2025,Metals & Mining,-0.06867741674222536,0.282584561532429,0.054948082780044344,0.2435990877671455,0.02548782370034267
SARDAEN,2026,Metals & Mining,-0.11227101233873023,0.2314650813054605,-0.051119480226968494,0.406351832043979,0.08548148852581745
SAREGAMA,2017,Media Entertainment & Publication,0.025055238254054278,0.006170008754742152,,,
SAREGAMA,2018,Media Entertainment & Publication,0.0820899393143035,0.027455523089956607,0.021285514335214455,,
SAREGAMA,2019,Media Entertainment & Publication,0.12674943566591423,0.08996896162528217,0.06251343853532557,,
SAREGAMA,2020,Media Entertainment & Publication,-0.05711888472957275,0.015651219827029817,-0.07431774179825236,,
SAREGAMA,2021,Media Entertainment & Publication,-0.09841836734693879,0.001403061224489796,-0.014248158602540022,,
SAREGAMA,2022,Media Entertainment & Publication,0.03446355465764543,0.0007702014965607542,-0.0006328597279290419,,
SAREGAMA,2023,Media Entertainment & Publication,0.053934311752175626,0.0004166397709068077,-0.0003535617256539465,,
SAREGAMA,2024,Media Entertainment & Publication,-0.015212976757679013,0.002669892171758146,0.002253252400851338,0.17452371594646587,
SAREGAMA,2025,Media Entertainment & Publication,-0.13361270738272973,0.0012934573015903322,-0.0013764348701678138,0.35233120823411934,0.12572888354237452
SAREGAMA,2026,Media Entertainment & Publication,-0.020892175675384317,0.03129729846273258,0.03000384116114225,0.34943095599393015,0.10183029869812976
SBFC,2022,Financial Services,0.1962689062974111,0.6511385306409925,,,
SBFC,2023,Financial Services,0.2276974961889448,0.6506741565212549,-0.00046437411973754283,0.657292298362644,
SBFC,2024,Financial Services,0.17605648759201392,0.5657849093630137,-0.0848892471582412,0.6850074962518741,0.019597604369401656
