Company,Year,Industry,Accruals_Ratio,Leverage_Ratio,Leverage_Change_YoY,Operating_Margin,Margin_Volatility_3yr,Anomaly_Score,Is_Anomaly
GLAXO,2018,Healthcare,-0.0309234475578152,0.0002507922755979,-0.000281859263765,,0.018909635366554302,-0.2083423399770699,0
ESCORTS,2024,Capital Goods,-0.0377376140692689,0.0361650790783493,0.0304832721645918,0.1127129395322962,0.0147344734730676,-0.20835273365879187,0
COCHINSHIP,2022,Capital Goods,-0.0991569731854956,0.0658197969271654,-0.0056639369600506,,0.0147344734730676,-0.2083624174671843,0
APOLLOHOSP,2019,Healthcare,-0.0730097426330202,0.4007462442313357,0.0020966994631864,,0.018909635366554302,-0.20836407051124,0
MCX,2017,Financial Services,0.0848738686693626,,-0.0006671917563533,,0.0213614188746349,-0.20845483524414388,0
SRF,2024,Chemicals,-0.0891144097254475,0.2459395004884039,0.0069578038818412,0.1774606093414792,0.02157821562095625,-0.20845644866317076,0
ASHOKLEY,2021,Capital Goods,0.0213966630811385,0.5724759355898383,-0.0154392922480015,,0.0147344734730676,-0.2085001077624915,0
NH,2017,Healthcare,-0.0827273941174328,0.1315323079911142,-0.0036016930944258,,0.018909635366554302,-0.20850183240294834,0
CUMMINSIND,2024,Capital Goods,-0.0810299525890946,0.0141552709935109,-0.0333389956987493,0.1930042149120682,0.0147344734730676,-0.20856466966194287,0
RELIANCE,2024,Oil Gas & Consumable Fuels,-0.0799112047077914,0.1998344204830865,-0.0814216120273968,0.182464810447276,0.02732774499087675,-0.20857060996623605,0
KAYNES,2021,Capital Goods,-0.0437561103560102,0.3539833559863604,-0.0512054729568322,,0.0147344734730676,-0.20857314658642456,0
APARINDS,2020,Capital Goods,0.0088057071640379,0.0798358330826421,0.0287401032315435,,0.0147344734730676,-0.20857998909328174,0
APARINDS,2024,Capital Goods,0.0476519796667138,0.0494615090226877,0.0036783471698466,0.075485219721738,0.0147344734730676,-0.20860443248067628,0
CANBK,2023,Financial Services,0.0370974101379843,0.8958241632423856,-0.0039502508521159,,0.0213614188746349,-0.2086512723158525,0
GALLANTT,2019,Capital Goods,0.0398450778790158,0.0714146395831591,-0.0101641921165463,,0.0147344734730676,-0.20865536433327025,0
KEI,2021,Capital Goods,0.0396155237112512,0.1013414201203064,-0.0108223791014453,,0.0147344734730676,-0.20865536433327025,0
INDUSINDBK,2022,Financial Services,-0.0295226692275378,0.8475132733407372,0.001026316622515,,0.0213614188746349,-0.20867628301897145,0
AMBUJACEM,2026,Construction Materials,-0.0534143077774629,0.0096672090119068,-5.511716036097139e-05,0.1672631578947368,0.0258330503954478,-0.20867720533849193,0
UTIAMC,2024,Financial Services,-0.032658555856372,,-0.0006671917563533,0.5574979644618996,0.0213614188746349,-0.2086808765506014,0
BANKINDIA,2023,Financial Services,0.0131749745698052,0.8924666396097263,0.0086359371678979,,0.0213614188746349,-0.20873533703583452,0
ABBOTINDIA,2022,Healthcare,-0.035264149692717,0.0359104381504313,-0.003819281023103,,0.018909635366554302,-0.20874820840696529,0
CENTRALBK,2021,Financial Services,0.0027115924319969,0.9084085205011978,0.011652087054116,,0.0213614188746349,-0.20879741434868354,0
SAMMAANCAP,2022,Financial Services,0.0063503836629133,0.7485313456869945,0.0105755129336294,,0.0213614188746349,-0.20880563101160027,0
IDBI,2017,Financial Services,-0.0359068487655934,0.8954219305772784,-0.0006671917563533,,0.0213614188746349,-0.20881112379151806,0
MFSL,2024,Financial Services,-0.0371583591594226,0.0032104524472811,-0.0007541587908893,0.0099555402138597,0.0213614188746349,-0.20881112379151806,0
IFCI,2017,Financial Services,-0.0344025811999569,0.6977232479224356,-0.0006671917563533,,0.0213614188746349,-0.20881112379151806,0
HDFCLIFE,2024,Financial Services,-0.0340287228778354,0.0031385562918571,-0.0006910195221544,0.0258972836840118,0.0213614188746349,-0.20881112379151806,0
CAMS,2020,Financial Services,-0.033768342179207,,-0.0006671917563533,,0.0213614188746349,-0.20881112379151806,0
ANANDRATHI,2019,Financial Services,-0.0341376770783693,0.0025993155135814,-0.0006671917563533,,0.0213614188746349,-0.20881112379151806,0
PAYTM,2016,Financial Services,-0.0376805041071749,0.0043419534732729,-0.0006671917563533,,0.0213614188746349,-0.20881112379151806,0
LALPATHLAB,2019,Healthcare,-0.0177531613648659,,-0.0036016930944258,,0.018909635366554302,-0.20882668478975452,0
ECLERX,2017,Services,0.029753815783827,0.0007581501137225,-0.0050481660415734,,0.01447484218491725,-0.20885143309415688,0
PCBL,2023,Chemicals,-0.0114655215256929,0.1894857357426451,0.0252504199874912,,0.02157821562095625,-0.2088551301419609,0
DALBHARAT,2024,Construction Materials,-0.0928839491916859,0.1733905889145496,0.0223266757518081,0.1606413077648538,0.02233657876759495,-0.20888701148164346,0
MAHABANK,2019,Financial Services,0.0369162030252409,0.9156462972518176,0.0014140994119777,,0.0213614188746349,-0.2089244175359366,0
ULTRACEMCO,2020,Construction Materials,-0.0406137515668038,0.2905927640647508,-0.0405000486847987,,0.02233657876759495,-0.2089259117240735,0
TITAN,2017,Consumer Durables,-0.1190391516216933,0.2238970356476366,-0.00093218661901025,,0.006957110708254,-0.2089468273048431,0
ABBOTINDIA,2017,Healthcare,-0.0147981411559686,,-0.0036016930944258,,0.018909635366554302,-0.20899149720064875,0
DIVISLAB,2017,Healthcare,-0.0146142060806144,0.0058066895533203,-0.0036016930944258,,0.018909635366554302,-0.20899149720064875,0
ESCORTS,2020,Capital Goods,-0.0648010753974902,0.0095074551851231,-0.0501827489164538,,0.0147344734730676,-0.20899320393477555,0
JINDALSAW,2024,Capital Goods,-0.1008999110679534,0.2786068376605697,0.0011794268018918,0.1782141027829946,0.0147344734730676,-0.20903613076346483,0
KARURVYSYA,2024,Financial Services,-0.0233091893033937,0.868546595904195,0.0028325560489819,0.6470373138526573,0.0213614188746349,-0.20906100303538439,0
GRANULES,2024,Healthcare,-0.0585333646180625,0.2391935815376444,0.0074563682416749,0.2024171574228707,0.018909635366554302,-0.20906557106459178,0
RRKABEL,2026,Capital Goods,-0.0194941770639938,0.0729284326326768,-0.0095642029689291,0.0893882961934221,0.0139650338969642,-0.20915743767039763,0
HDFCLIFE,2023,Financial Services,-0.0222312519588784,0.0038295758140116,0.001229183891609,,0.0213614188746349,-0.20921529821287316,0
KAYNES,2020,Capital Goods,-0.0945995980112133,0.4051888289431926,-0.023217446861927,,0.0147344734730676,-0.20923718027979638,0
HEG,2024,Capital Goods,-0.0927533079826567,0.10921604669763,-0.0212434083934106,0.1399096952213721,0.0147344734730676,-0.20923718027979638,0
ICICIGI,2025,Financial Services,-0.0070655837447752,,-0.0006671917563533,0.1236643233488878,0.0229918075759613,-0.209262960232713,0
CAMS,2023,Financial Services,-0.0303124287343215,0.0850627137970353,-0.0005778133823875,,0.0213614188746349,-0.20926592316723874,0
MEDANTA,2021,Healthcare,-0.0790465125774374,0.3457097148965706,-0.0026807452559258,,0.018909635366554302,-0.20932102355577675,0
DRREDDY,2022,Healthcare,-0.0211225227345312,0.1137819165924257,-0.0002097864002889,,0.018909635366554302,-0.20933393801287037,0
JPPOWER,2022,Power,-0.0425208961100577,0.2927588399524286,-0.015336694331179,,0.02714301304713805,-0.20934015379802845,0
JINDALSAW,2021,Capital Goods,-0.0790936302969678,0.3373208524974107,-0.0372277702632741,,0.0147344734730676,-0.2093552480258521,0
NLCINDIA,2018,Power,-0.0673797030673812,0.3437225764400441,0.0010068439079876,,0.02714301304713805,-0.2093830786934791,0
GLAXO,2021,Healthcare,-0.0705571109341689,0.0111184599183212,0.0110610535385588,,0.018909635366554302,-0.2093880104628162,0
BAJAJHLDNG,2023,Financial Services,0.0587136972367879,0.0017445631635647,-0.0003770085499071,,0.0213614188746349,-0.20939221197335167,0
LICHSGFIN,2021,Financial Services,0.0596649062274681,0.8820799869405198,-0.0004014783240061,,0.0213614188746349,-0.20939221197335167,0
BSE,2023,Financial Services,0.0596915818152393,3.3367757736731727e-06,1.0335513798267546e-07,,0.0213614188746349,-0.20939221197335167,0
PNB,2019,Financial Services,0.0303268590656904,0.9222679970000496,0.0042706956293093,,0.0213614188746349,-0.20944510170691288,0
LICHSGFIN,2023,Financial Services,0.0808546201278473,0.8792141409256967,0.0006558419335822,,0.0213614188746349,-0.20944886858220302,0
JUBLPHARMA,2023,Healthcare,-0.066034110456392,0.3364198660469201,0.011686407920445,,0.018909635366554302,-0.20950426583790455,0
MAHABANK,2023,Financial Services,0.0151027252053152,0.914133428439446,0.0040942514550987,,0.0213614188746349,-0.2095333670459837,0
LINDEINDIA,2017,Chemicals,-0.069137524765243,0.3756872721304556,-0.024884200784167,,0.02157821562095625,-0.20957600315035668,0
CENTRALBK,2024,Financial Services,0.0153499916184944,0.9057154989604296,0.0014477819572905,0.6051197460029057,0.0213614188746349,-0.20959577032007087,0
SUPREMEIND,2019,Capital Goods,-0.0331684869955129,0.0502931002982098,-0.0340838474319501,,0.0147344734730676,-0.2095985884492073,0
YESBANK,2019,Financial Services,0.0690085514712363,0.8821676050133014,0.0001625203540611,,0.0213614188746349,-0.2096640806088052,0
PFC,2020,Financial Services,0.0709407179571059,0.8589537876918265,0.0010836586130579,,0.0213614188746349,-0.2096640806088052,0
CARBORUNIV,2025,Capital Goods,-0.0498521814696262,0.0472407935475137,0.0052247879157214,0.121701811195637,0.0136298562819873,-0.20968707957278265,0
BAJAJHLDNG,2021,Financial Services,0.0742624851092304,0.0029936519542163,-0.0021324253485082,,0.0213614188746349,-0.20969378620616574,0
BANKBARODA,2018,Financial Services,0.0772999506081839,0.8990569954276967,-0.0026179287974128,,0.0213614188746349,-0.20969378620616574,0
CEMPRO,2021,Construction,-0.054978651956408,0.1433467091434782,-0.0290809886096075,,0.00811929390513665,-0.20971497673673933,0
NIACL,2022,Financial Services,0.0440023760476817,,-0.0006671917563533,,0.0213614188746349,-0.20973013411985636,0
MAXHEALTH,2019,Healthcare,-0.0274135947104521,0.2989232502817078,0.0019327731681358,,0.018909635366554302,-0.20975479964249083,0
TATASTEEL,2022,Metals & Mining,-0.0149671942666439,0.2675479895009473,-0.0952977482918763,,0.02556926581353005,-0.20975588277741636,0
ABREL,2023,Realty,0.000109380573059,0.1259434074426346,-0.0467336345946732,,0.03750103869543505,-0.20976856791267495,0
HDFCBANK,2020,Financial Services,0.0279113048197079,0.8432539156018144,0.0076794347310576,,0.0213614188746349,-0.20984246676061097,0
